reaction_id,pathway_id,left,right
R10057,map00100,C04530,C04840
R10057,map00100,C04530,C00996
R10057,map00100,C04530,C00001
R10057,map00100,C00999,C04840
R10057,map00100,C00999,C00996
R10057,map00100,C00999,C00001
R10057,map00100,C00007,C04840
R10057,map00100,C00007,C00996
R10057,map00100,C00007,C00001
R10057,map00100,C00080,C04840
R10057,map00100,C00080,C00996
R10057,map00100,C00080,C00001
R12377,map00100,C08830,C22116
R12377,map00100,C08830,C00996
R12377,map00100,C08830,C00001
R12377,map00100,C00999,C22116
R12377,map00100,C00999,C00996
R12377,map00100,C00999,C00001
R12377,map00100,C00007,C22116
R12377,map00100,C00007,C00996
R12377,map00100,C00007,C00001
R12377,map00100,C00080,C22116
R12377,map00100,C00080,C00996
R12377,map00100,C00080,C00001
R00702,map00100,C00448,C00013
R00702,map00100,C00448,C03428
R07488,map00100,C08821,C01753
R07488,map00100,C08821,C00006
R07488,map00100,C00005,C01753
R07488,map00100,C00005,C00006
R07488,map00100,C00080,C01753
R07488,map00100,C00080,C00006
R09515,map00100,C01673,C18231
R09515,map00100,C01673,C00667
R09515,map00100,C01673,C00001
R09515,map00100,C00662,C18231
R09515,map00100,C00662,C00667
R09515,map00100,C00662,C00001
R09515,map00100,C00080,C18231
R09515,map00100,C00080,C00667
R09515,map00100,C00080,C00001
R09515,map00100,C00007,C18231
R09515,map00100,C00007,C00667
R09515,map00100,C00007,C00001
R09516,map00100,C01561,C07712
R09516,map00100,C01561,C00667
R09516,map00100,C01561,C00001
R09516,map00100,C00662,C07712
R09516,map00100,C00662,C00667
R09516,map00100,C00662,C00001
R09516,map00100,C00080,C07712
R09516,map00100,C00080,C00667
R09516,map00100,C00080,C00001
R09516,map00100,C00007,C07712
R09516,map00100,C00007,C00667
R09516,map00100,C00007,C00001
R07498,map00100,C05437,C03845
R07498,map00100,C05437,C00006
R07498,map00100,C00005,C03845
R07498,map00100,C00005,C00006
R07498,map00100,C00080,C03845
R07498,map00100,C00080,C00006
R03199,map00100,C01054,C01724
R11096,map00100,C15781,C21106
R11096,map00100,C15781,C00006
R11096,map00100,C00005,C21106
R11096,map00100,C00005,C00006
R11096,map00100,C00080,C21106
R11096,map00100,C00080,C00006
R07499,map00100,C05108,C15915
R07499,map00100,C05108,C00006
R07499,map00100,C00005,C15915
R07499,map00100,C00005,C00006
R07499,map00100,C00080,C15915
R07499,map00100,C00080,C00006
R11097,map00100,C21106,C08813
R11097,map00100,C21106,C00006
R11097,map00100,C21106,C00001
R11097,map00100,C00005,C08813
R11097,map00100,C00005,C00006
R11097,map00100,C00005,C00001
R11097,map00100,C00080,C08813
R11097,map00100,C00080,C00006
R11097,map00100,C00080,C00001
R11097,map00100,C00007,C08813
R11097,map00100,C00007,C00006
R11097,map00100,C00007,C00001
R02874,map00100,C00751,C01054
R02874,map00100,C00751,C03161
R02874,map00100,C00751,C00001
R02874,map00100,C00007,C01054
R02874,map00100,C00007,C03161
R02874,map00100,C00007,C00001
R02874,map00100,C03024,C01054
R02874,map00100,C03024,C03161
R02874,map00100,C03024,C00001
R01457,map00100,C00187,C01802
R01457,map00100,C00187,C00080
R01457,map00100,C00187,C00005
R01457,map00100,C00006,C01802
R01457,map00100,C00006,C00080
R01457,map00100,C00006,C00005
R01461,map00100,C00040,C00010
R01461,map00100,C00040,C02530
R01461,map00100,C00187,C00010
R01461,map00100,C00187,C02530
