compound_id,smiles
CPD-15991,C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)OC2([C@@H]([C@H]([C@@H]([C@H](O2)COP([O-])(=O)[O-])O)O)O)))O
2-Palmitoleoyl-L-Phosphatidate,CCCCCC\C=C/CCCCCCCC(=O)O[C@@H](COP(=O)([O-])[O-])COC(=O)[R]
Gluc-Glycosyl-Hydroxymethylcytosine-DNAs,C(O)[C@@H]4([C@@H](O)[C@H](O)[C@@H](O)[C@H](O[C@H]3([C@H](O)[C@@H](O)[C@H](OCC1(\C(\N)=N/C(N(/C=1)[C@@H]2(O[C@H](COP(=O)([O-])O[a deoxyribonucleic acid])[C@@H](OP(=O)(O[a deoxyribonucleic acid])[O-])C2))=O))O[C@H](CO)3))O4)
Gentiobiose,C(O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))[C@H]2(OC(O)[C@H](O)[C@@H](O)[C@H](O)2)
CPD0-1161,CCCCCCCCCCCC(O)CC(SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC3(C(OP(=O)([O-])[O-])C(O)C(N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3))(=O)[O-])(=O)[O-])(C)C)=O
Thiopurines,C1(\NC2(C(/S)=N\C=N/C(\N=1)=2))
Dermatan-sulfate-disaccharides,CC(=O)N[C@H]2([C@@H](O)O[C@H](CO)[C@H](OS(=O)([O-])=O)[C@H](O[C@@H]1(O[C@@H](C([O-])=O)[C@@H](O)[C@H](O)[C@@H](OS(=O)(=O)[O-])1))2)
Folates,C([R])(=O)CC[C@@H](C(=O)[O-])NC(=O)C3(\C=C/C(/NCC1(\C=N/C2(\N=C(N)/NC(=O)C(\N=1)=2)))=C\C=3)
Coelenteramides,C([R2])C3(\C(\NC(=O)CC1(\C=C/C(\[R1])=C\C=1))=N/C=C(C2(\C=C/C(\[R3])=C\C=2))\N=3)
tRNA-guanosine18,C(OP(=O)([O-])O[a tRNA])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](OP(=O)(O[a tRNA])[O-])3)
5-10-METHENYL-THF-GLU-N,C3(NC4(/N=C(N)\NC(=O)C(/[N+]2(\[C@H](CN(C1(\C=C/C(/C(=O)N[C@@H](CCC([R])=O)C([O-])=O)=C\C=1))/C=2)3))=4))
Man7GlcNAc2-protein-A12B12,CC(N[C@H]9([C@H](NC(=O)C[C@H](N[a protein])C([a protein])=O)O[C@H](CO)[C@@H](O[C@H]8([C@H](NC(=O)C)[C@H]([C@H](O[C@H]1([C@@H](O)[C@H]([C@H](O)[C@H](O1)CO[C@@H]2([C@@H](O)[C@H]([C@H](O)[C@H](O2)CO[C@H]3(O[C@@H]([C@H]([C@@H]([C@@H]3O[C@@H]4([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O4)O))O)O)CO))O[C@@H]6([C@@H](O[C@@H]5([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O5)O))[C@H]([C@H](O)[C@@H](CO)O6)O)))O[C@@H]7([C@@H](O)[C@@H](O)[C@@H]([C@H](O7)CO)O)))[C@@H](CO)O8)O))[C@H](O)9))=O
S-ubiquitinyl-HECT-E3-UCP-L-cysteine,C(N[a ubiquitin])C(=O)SC[C@@H](C(=O)[a HECT-type E3 ubiquitin transferase])N[a HECT-type E3 ubiquitin transferase]
Sterols,CC34(CCC2(C(CCC1(CC(O)CCC(C)12))C(CCC([R])3)4))
Aliphatic-L-Amino-Acids,[C@@H]([NH3+])([R])C(=O)[O-]
Protopanaxadiol-type-3OH-ginsenosides,CC(C)=CCC[C@](C)(O[R])[C@@H]2(CC[C@]3([C@]4(C)(CC[C@H]1([C@](C)(CC[C@@H](C(C)(C)1)O)[C@H](C[C@@H](O)[C@H]23)4)))(C))
Peptidoglycans,C[C@H](C(=O)N[C@H](C)C(=O)[O-])NC(=O)[C@H](CCCC([R3])[NH3+])NC(=O)CC[C@@H](NC(=O)[C@@H](NC([C@H](O[C@@H]4([C@@H](NC(=O)C)[C@H](O[R1])O[C@H](CO)[C@@H](O[C@@H]3(O[C@H](CO)[C@@H](O[C@@H]2(O[C@H](CO)[C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O[R2])[C@H](O)[C@@H](NC(=O)C)1))[C@H](O[C@@H](C(=O)N[C@@H](C)C(N[C@H](CCC(=O)N[C@@H](CCCC([R3])[NH3+])C(N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])=O)C(=O)[O-])=O)C)[C@H]2NC(=O)C))[C@H](O)[C@@H](NC(=O)C)3))4))C)=O)C)C(=O)[O-]
2-O-Methyluridine44-tRNASer,CO[C@@H]2([C@H](OP(=O)(O[a tRNA<SUP>ser</SUP>])[O-])[C@@H](COP(=O)([O-])O[a tRNA<SUP>ser</SUP>])O[C@@H](N1(\C=C/C(=O)NC(=O)1))2)
CPD-15990,C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)OC2([C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)))O
N-Ac-L-methionyl-L-aspartyl-Protein,CC(=O)N[C@@H](CCSC)C(=O)N[C@H](C(=O)[a protein])CC(=O)[O-]
GlcNAc-1-6-anhydro-MurNAc-pentapeptide,C[C@H](C(=O)N[C@H](C)C(=O)[O-])NC(=O)[C@H](CCCC([R])[NH3+])NC(=O)CC[C@@H](NC(=O)[C@@H](NC([C@H](O[C@@H]2([C@@H](NC(=O)C)C3(OCC([C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)1))2)O3)))C)=O)C)C(=O)[O-]
Man10GlcNAc2-proteins,CC(N[C@H]%12(C(NC(=O)C[C@H](N[a protein])C([a protein])=O)O[C@H](CO)[C@@H](O[C@H]%11([C@H](NC(=O)C)[C@H]([C@H](O[C@H]1([C@@H](O)[C@H]([C@H](O)[C@H](O1)CO[C@@H]2([C@@H](O)[C@H]([C@H](O)[C@H](O2)CO[C@H]3(O[C@@H]([C@H]([C@@H]([C@@H]3O[C@@H]4([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O4)O))O)O)CO))O[C@@H]6([C@@H](O)[C@H]([C@H](O)[C@@H](CO[C@@H]5([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O5)O))O6)O)))O[C@@H]9([C@@H](O[C@@H]8([C@@H](O[C@@H]7([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O7)O))[C@H]([C@H](O)[C@H](O8)CO)O))[C@@H](O)[C@@H]([C@H](O9)CO[C@@H]%10([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O%10)O))O)))[C@@H](CO)O%11)O))[C@H](O)%12))=O
3-alpha-Hydroxysteroids,CC34(CCC2(C(CCC1(C[C@H](O)CCC(C)12))C(CCC([R])3)4))
ACTINOMYCIN,CC2(\C3(\OC1(\C(/C(/C(=O)N[R2])=C(C(=O)C(\C)=1)/N)=N/C(\C(\C(=O)N[R1])=C/C=2)=3)))
Delta-Lactams,C1([R4])(N([R5])C(=O)C([R1])C([R2])C([R3])1)
3-HYDROXY-ISOBUTYRYL-COA,CC(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])CO
beta-Gal-13-beta-Gal-R,C(O)[C@@H]2([C@H](O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1([C@@H](O)[C@H](O[R])O[C@H](CO)[C@@H]1O))O2)
mRNA-Containing-N1-Methyladenine,CN1(C(C2(\N=C/N(C(\N=C/1)=2)[C@@H]3(O[C@H](COP(=O)([O-])O[an mRNA])[C@@H](OP(=O)(O[an mRNA])[O-])[C@@H](O)3)))=N)
CPD-18567,C([R5])CCCCCCCCCCCCCC(O[C@@H]1([C@H]([C@@H]([C@H](O[C@@H]1O[C@H]2(O[C@@H]([C@H]([C@@H]([C@H]2OC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R4])O)OC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R1])CO))COC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R3])O)OC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R2]))=O
Phycocyanobilins,C/C=C1([C@@H](C)C(NC\1=C/C4(/NC(/C=C3(C(/CCC([O-])=O)=C(C)/C(\C=C2(C(/C)=C(CC)/C(=O)N2))=N\3))=C(CCC([O-])=O)/C(\C)=4))=O)
N-Ac-L-methionyl-L-asparaginyl-Protein,CC(=O)N[C@@H](CCSC)C(=O)N[C@H](C(=O)[a protein])CC(N)=O
tRNA-with-5-taurinomethyl-2-thiouridine,C(S(=O)(=O)[O-])CCNC1(\C(=O)NC(=S)N(/C=1)[C@@H]2(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)2))
ANDROSTAN-3-ALPHA17-BETA-DIOL,C[C@@]24(CC[C@@H](O)CC(CC[C@H]1([C@@H]3(CC[C@H](O)[C@@](C)(CC[C@@H]12)3)))4)
Tetramethylated-Mycocerosic-Acids,C(CCCCCCCCCCCC[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C([O-])=O)[R]
N4-Methylcytosine-Containing-rRNAs,CNC1(\C=C/N(C(/N=1)=O)[C@@H]2(O[C@H](COP(=O)([O-])O[rRNA])[C@@H](OP(=O)(O[rRNA])[O-])[C@@H](O)2))
Adenine-In-Double-Stranded-RNAs,C(OP(=O)([O-])O[a double-stranded RNA])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP(=O)(O[a double-stranded RNA])[O-])3)
CPD-409,C(O)C(CO)OC(=O)[R]
Guanine37-in-tRNA,C(OP(=O)([O-])O[a tRNA])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](OP(=O)(O[a tRNA])[O-])3)
SgcC2-3-chloro-5-hydroxy-beta-tyrosine,CC(C)(COP(=O)([O-])OC[C@H](N[a peptidyl-carrier protein])C(=O)[a peptidyl-carrier protein])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](C1(\C=C(C(\O)=C(/C=1)\Cl)\O))[NH3+]
Basic-Amino-Acids,[C@@H]([NH3+])([R])C([O-])=O
TAG-18-2-36-6s,C(OC([R3])=O)[C@H](OC([R2])=O)COC([R1])=O
CPD0-1950,CCCC(C(=O)[O-])[NH3+]
PECTATE,C([O-])(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]3([C@@H](C([O-])=O)O[C@H](O[C@H]2([C@@H](C([O-])=O)O[C@H]([R2])[C@@H]([C@H]2O)O))[C@@H]([C@H]3O)O))O)O)[R1])
Thio-Ethers,S([R])[R]
L-gulopyranose,C(O)[C@H]1([C@@H](O)[C@H](O)[C@H](O)C(O)O1)
1-ALKENYL-2-ACYLGLYCEROL,C(/[R1])=C\OC[C@@H](OC([R2])=O)CO
