fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.7550640911454742,0.8095137770207799,0.7177340296387916,0.8242592480677885,0.8729381991994328,0.7881944444444444,0
1,0.7933443553580061,0.8155868073725216,0.7850796515806868,0.8259734228759047,0.8555934861304579,0.8098591549295775,0
2,0.7932182278505004,0.8087901168728235,0.7910350848446086,0.8308380862169267,0.8485341935314523,0.8229166666666666,0
3,0.7358268518610482,0.7583718331932617,0.7292228130737447,0.7996094961792493,0.809321451808476,0.7993079584775087,0
4,0.7920295900990363,0.8061316539047632,0.7991917169556921,0.8411091237004708,0.8459948209112296,0.8526315789473684,0
0,0.7328521554572572,0.8014492942312491,0.7056971645791522,0.7963704856260283,0.8492639417998269,0.7657342657342657,1
1,0.7680841843491124,0.7729763622620767,0.77362601166949,0.8104482588921765,0.822686370749751,0.8063380281690141,1
2,0.773164153420091,0.8271116753911597,0.7440894995656899,0.8150186167598916,0.8676106313004597,0.7874564459930313,1
3,0.7952981548385962,0.8276308375449771,0.7860594696308981,0.830984187285983,0.856868260491121,0.8251748251748252,1
4,0.7412392741861143,0.8212559724744599,0.7191359296328241,0.7975177393991899,0.8569183516212018,0.7800687285223368,1
0,0.7747714781222557,0.8178018894685563,0.7706454392168679,0.8119036252017741,0.8738828122451816,0.7909407665505227,2
1,0.7442143963362886,0.7808499701356846,0.7243563667373191,0.8275219366633577,0.8566365103562336,0.8096885813148789,2
2,0.7789279788803475,0.8629545928705592,0.741724623815721,0.8151193353980419,0.8837401633909637,0.7773851590106007,2
3,0.7740356663278205,0.827110815340629,0.7484723630789882,0.8108579272581165,0.8477947075569358,0.7951388888888888,2
4,0.7679177910799285,0.828927004266563,0.7732596193776318,0.8178527590931053,0.867667696202004,0.8083623693379791,2
0,0.7683341082244872,0.7887188778645362,0.7624580357913692,0.7963799222774852,0.8215910712979645,0.7835051546391752,3
1,0.768263032825009,0.7864381721067872,0.754959285021397,0.824284651111401,0.8470951737316871,0.8063380281690141,3
2,0.756838002621439,0.7793940876239014,0.7477432524533973,0.8015378353445446,0.810182414415824,0.8,3
3,0.7604557752429096,0.8061327561327561,0.7390080554366268,0.8198396176175867,0.8671519827443173,0.794425087108014,3
4,0.7633717539315962,0.7727793526112854,0.7760723958964125,0.818337794618848,0.82242496862296,0.8292682926829268,3
0,0.7898825463194948,0.8053468507163721,0.7895106097797608,0.8328089078305961,0.848373878067676,0.8321678321678322,4
1,0.7695555842455655,0.7824654503536492,0.766998687992477,0.8303576130079889,0.8355471932547031,0.8321678321678322,4
2,0.7456639497475832,0.7855501773358917,0.7212656303132494,0.8008903407099758,0.8365656256248589,0.7770034843205574,4
3,0.7528805410805676,0.7851439490733376,0.7356583451821546,0.80536114740311,0.8368099344450615,0.7839721254355401,4
4,0.742573534024749,0.76275732286956,0.7326386691293524,0.8032456868754709,0.821598699248553,0.7916666666666666,4
