Pathway,Pathway Name,Metabolite,SMILES
map00010,Glycolysis / Gluconeogenesis,C00022,CC(=O)C(=O)O
map00010,Glycolysis / Gluconeogenesis,C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
map00010,Glycolysis / Gluconeogenesis,C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C00033,CC(=O)O
map00010,Glycolysis / Gluconeogenesis,C00036,O=C(O)CC(=O)C(=O)O
map00010,Glycolysis / Gluconeogenesis,C00068,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
map00010,Glycolysis / Gluconeogenesis,C00074,C=C(OP(=O)(O)O)C(=O)O
map00010,Glycolysis / Gluconeogenesis,C00084,CC=O
map00010,Glycolysis / Gluconeogenesis,C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C00103,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
map00010,Glycolysis / Gluconeogenesis,C00111,O=C(CO)COP(=O)(O)O
map00010,Glycolysis / Gluconeogenesis,C00118,O=C[C@H](O)COP(=O)(O)O
map00010,Glycolysis / Gluconeogenesis,C00186,C[C@H](O)C(=O)O
map00010,Glycolysis / Gluconeogenesis,C00197,O=C(O)[C@H](O)COP(=O)(O)O
map00010,Glycolysis / Gluconeogenesis,C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C00236,O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
map00010,Glycolysis / Gluconeogenesis,C00267,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C00354,O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C00469,CCO
map00010,Glycolysis / Gluconeogenesis,C00631,O=C(O)[C@@H](CO)OP(=O)(O)O
map00010,Glycolysis / Gluconeogenesis,C00668,O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C01159,O=C(O)[C@@H](COP(=O)(O)O)OP(=O)(O)O
map00010,Glycolysis / Gluconeogenesis,C01172,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C01451,OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
map00010,Glycolysis / Gluconeogenesis,C05125,Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
map00010,Glycolysis / Gluconeogenesis,C06186,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C06187,O=P(O)(O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C06188,O=P(O)(O)OC[C@H]1O[C@@H](Oc2ccccc2CO)[C@H](O)[C@@H](O)[C@@H]1O
map00010,Glycolysis / Gluconeogenesis,C15972,*NC(=O)CCCC[C@@H]1CCSS1
map00010,Glycolysis / Gluconeogenesis,C15973,*NC(=O)CCCC[C@@H](S)CCS
map00010,Glycolysis / Gluconeogenesis,C16255,*NC(=O)CCCC[C@@H](S)CCSC(C)=O
map00020,Citrate cycle (TCA cycle),C00022,CC(=O)C(=O)O
map00020,Citrate cycle (TCA cycle),C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
map00020,Citrate cycle (TCA cycle),C00026,O=C(O)CCC(=O)C(=O)O
map00020,Citrate cycle (TCA cycle),C00036,O=C(O)CC(=O)C(=O)O
map00020,Citrate cycle (TCA cycle),C00042,O=C(O)CCC(=O)O
map00020,Citrate cycle (TCA cycle),C00068,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
map00020,Citrate cycle (TCA cycle),C00074,C=C(OP(=O)(O)O)C(=O)O
map00020,Citrate cycle (TCA cycle),C00091,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
map00020,Citrate cycle (TCA cycle),C00122,O=C(O)/C=C/C(=O)O
map00020,Citrate cycle (TCA cycle),C00149,O=C(O)C[C@H](O)C(=O)O
map00020,Citrate cycle (TCA cycle),C00158,O=C(O)CC(O)(CC(=O)O)C(=O)O
map00020,Citrate cycle (TCA cycle),C00311,O=C(O)CC(C(=O)O)C(O)C(=O)O
map00020,Citrate cycle (TCA cycle),C00417,O=C(O)/C=C(/CC(=O)O)C(=O)O
map00020,Citrate cycle (TCA cycle),C05125,Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
map00020,Citrate cycle (TCA cycle),C05379,O=C(O)CC(C(=O)O)C(=O)C(=O)O
map00020,Citrate cycle (TCA cycle),C05381,Cc1ncc(C[n+]2c(C(O)CCC(=O)O)sc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
map00020,Citrate cycle (TCA cycle),C15972,*NC(=O)CCCC[C@@H]1CCSS1
map00020,Citrate cycle (TCA cycle),C15973,*NC(=O)CCCC[C@@H](S)CCS
map00020,Citrate cycle (TCA cycle),C16254,*NC(=O)CCCC[C@@H](S)CCSC(=O)CCC(=O)O
map00020,Citrate cycle (TCA cycle),C16255,*NC(=O)CCCC[C@@H](S)CCSC(C)=O
map00030,Pentose phosphate pathway,C00022,CC(=O)C(=O)O
map00030,Pentose phosphate pathway,C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00118,O=C[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C00119,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00197,O=C(O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C00198,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
map00030,Pentose phosphate pathway,C00199,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C00204,O=C(O)C(=O)C[C@H](O)[C@H](O)CO
map00030,Pentose phosphate pathway,C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00231,O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
map00030,Pentose phosphate pathway,C00258,O=C(O)[C@H](O)CO
map00030,Pentose phosphate pathway,C00279,O=C[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C00345,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C00354,O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00577,O=C[C@H](O)CO
map00030,Pentose phosphate pathway,C00620,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
map00030,Pentose phosphate pathway,C00631,O=C(O)[C@@H](CO)OP(=O)(O)O
map00030,Pentose phosphate pathway,C00668,O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C00672,O=P(O)(O)O[C@@H]1C[C@H](O)[C@@H](CO)O1
map00030,Pentose phosphate pathway,C00673,O=P(O)(O)OC[C@H]1OC(O)C[C@@H]1O
map00030,Pentose phosphate pathway,C01151,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C01172,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
map00030,Pentose phosphate pathway,C01182,O=C(COP(=O)(O)O)[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C01218,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
map00030,Pentose phosphate pathway,C01236,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
map00030,Pentose phosphate pathway,C01801,OC[C@H]1OC(O)C[C@@H]1O
