Pathway,Pathway Name,Metabolite,SMILES,inchikey,inchikey_wo_last
map00010,Glycolysis / Gluconeogenesis,C00022,CC(=O)C(=O)O,LCTONWCANYUPML-UHFFFAOYSA-N,LCTONWCANYUPML-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,ZSLZBFCDCINBPY-ZSJPKINUSA-N,ZSLZBFCDCINBPY-ZSJPKINUSA-
map00010,Glycolysis / Gluconeogenesis,C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-GASJEMHNSA-N,WQZGKKKJIJFFOK-GASJEMHNSA-
map00010,Glycolysis / Gluconeogenesis,C00033,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00036,O=C(O)CC(=O)C(=O)O,KHPXUQMNIQBQEV-UHFFFAOYSA-N,KHPXUQMNIQBQEV-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00068,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,AYEKOFBPNLCAJY-UHFFFAOYSA-O,AYEKOFBPNLCAJY-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00074,C=C(OP(=O)(O)O)C(=O)O,DTBNBXWJWCWCIK-UHFFFAOYSA-N,DTBNBXWJWCWCIK-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00084,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,IKHGUXGNUITLKF-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,BGWGXPAPYGQALX-VRPWFDPXSA-N,BGWGXPAPYGQALX-VRPWFDPXSA-
map00010,Glycolysis / Gluconeogenesis,C00103,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,HXXFSFRBOHSIMQ-VFUOTHLCSA-N,HXXFSFRBOHSIMQ-VFUOTHLCSA-
map00010,Glycolysis / Gluconeogenesis,C00111,O=C(CO)COP(=O)(O)O,GNGACRATGGDKBX-UHFFFAOYSA-N,GNGACRATGGDKBX-UHFFFAOYSA-
map00010,Glycolysis / Gluconeogenesis,C00118,O=C[C@H](O)COP(=O)(O)O,LXJXRIRHZLFYRP-VKHMYHEASA-N,LXJXRIRHZLFYRP-VKHMYHEASA-
map00010,Glycolysis / Gluconeogenesis,C00186,C[C@H](O)C(=O)O,JVTAAEKCZFNVCJ-REOHCLBHSA-N,JVTAAEKCZFNVCJ-REOHCLBHSA-
map00010,Glycolysis / Gluconeogenesis,C00197,O=C(O)[C@H](O)COP(=O)(O)O,OSJPPGNTCRNQQC-UWTATZPHSA-N,OSJPPGNTCRNQQC-UWTATZPHSA-
