Metabolite,SMILES,Pathway Name,Pathway,Biosynthesis of alkaloids derived from histidine and purine,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Biosynthesis of alkaloids derived from shikimate pathway,Biosynthesis of phenylpropanoids,Biosynthesis of plant hormones,Biosynthesis of type II polyketide backbone,Brassinosteroid biosynthesis,Caffeine metabolism,Carotenoid biosynthesis,Diterpenoid biosynthesis,Flavone and flavonol biosynthesis,Flavonoid biosynthesis,Indole alkaloid biosynthesis,Isoflavonoid biosynthesis,Isoquinoline alkaloid biosynthesis,Monoterpenoid biosynthesis,Phenylpropanoid biosynthesis,Porphyrin metabolism,Steroid biosynthesis,Terpenoid backbone biosynthesis,"Tropane, piperidine and pyridine alkaloid biosynthesis",Zeatin biosynthesis
C00015,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,['Zeatin biosynthesis'],['map00908'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C00019,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,"['Zeatin biosynthesis', 'Biosynthesis of plant hormones']","['map00908', 'map01070']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C00025,N[C@@H](CCC(=O)O)C(=O)O,"['Porphyrin metabolism', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00860', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00029,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,['Zeatin biosynthesis'],['map00908'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,['Indole alkaloid biosynthesis'],['map00901'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C00032,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2,['Porphyrin metabolism'],['map00860'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C00047,NCCCC[C@H](N)C(=O)O,"['Tropane, piperidine and pyridine alkaloid biosynthesis', 'Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']","['map00960', 'map01064']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C00049,N[C@@H](CC(=O)O)C(=O)O,"['Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid', 'Biosynthesis of plant hormones']","['map01064', 'map01070']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00062,N=C(N)NCCC[C@H](N)C(=O)O,"['Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid']",['map01064'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00073,CSCC[C@H](N)C(=O)O,['Biosynthesis of plant hormones'],['map01070'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
