fold,f1_score,precision_score,recall_score,rep
0,0.7424410968330372,0.7706735184007911,0.7295460106428485,0
1,0.7581111791217442,0.8114501029273757,0.7288828091100819,0
2,0.766797031391085,0.7668654703881976,0.7778823050759809,0
3,0.7647959418242135,0.8057144034416764,0.7563290917836373,0
4,0.776666709288483,0.8255181906367678,0.7452256962039571,0
0,0.7906008257104897,0.8075545613344658,0.7952978192207439,1
1,0.7553456680404733,0.7936256639715137,0.7322097599370326,1
2,0.758386711570337,0.7924156651429378,0.7443593443593444,1
3,0.7961604361857976,0.8476963945145765,0.7770827361044752,1
4,0.7244400891400778,0.7686980062915892,0.7252904967233031,1
0,0.7874953696280328,0.8248959878505332,0.7615712317985044,2
1,0.7382606611305419,0.7726351930897384,0.7439128303258739,2
2,0.7430276170655078,0.7681712665902389,0.736603699330972,2
3,0.7717991299696618,0.8179799619572347,0.7674240263469513,2
4,0.7211613445003408,0.7769221308994037,0.6941364081680288,2
0,0.7771405963945847,0.8291700218972948,0.7514303289303289,3
1,0.7688890542124761,0.8427402984221167,0.7302753055025782,3
2,0.7666151863142822,0.8433492433492433,0.7199346068219585,3
3,0.7646031526508558,0.8309163059163062,0.7563765944200725,3
4,0.7446126863662236,0.7749075637006673,0.7273077186318293,3
0,0.7636175694599007,0.8327671916357687,0.7227807842135904,4
1,0.7658848560082361,0.8195418079802242,0.7367342341453014,4
2,0.7368294350890303,0.7996582962492055,0.7019496076314258,4
3,0.780187600716545,0.7903273932918201,0.7946274337578686,4
4,0.7687067129120014,0.8402791652791654,0.7306697931697932,4
