fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.7321928746490046,0.7759336385660724,0.7342071689162242,0.8037661175968385,0.8317244867859337,0.79182156133829,0
1,0.7599525613120807,0.8128983415939938,0.76222342414889,0.8017242073697383,0.8291117366018552,0.7954545454545454,0
2,0.7579778678979446,0.8258168046786973,0.7350611176898363,0.7962204019339572,0.8157569251011321,0.7924528301886793,0
3,0.771931360580205,0.8224029771398191,0.7484071697435541,0.7951349851151599,0.825389448059195,0.7824427480916031,0
4,0.7495316038867832,0.7745653817082389,0.7460580884493928,0.8074355608889616,0.82484485022079,0.8082706766917294,0
0,0.7272055464901488,0.7580485794842338,0.757411286303081,0.7663226246451467,0.7783330359055429,0.7803030303030303,1
1,0.7067702647068015,0.7272027972027972,0.7336631484457571,0.7753710952711289,0.7905139137591967,0.7773584905660378,1
2,0.7977504710596071,0.8058897015108196,0.8189254025066384,0.8232042424014682,0.833936382924584,0.8215613382899628,1
3,0.8053012085028977,0.8586383487858719,0.7745241232197755,0.8284316344454491,0.8655720980023675,0.8060836501901141,1
4,0.8008944082107832,0.8229330881536765,0.7839768850523999,0.8379686436135863,0.8614658236078879,0.8188679245283019,1
0,0.7112729992684753,0.7491896645576427,0.701782119059007,0.7682643918625333,0.7890791263745649,0.7723880597014925,2
1,0.7754904023407745,0.8079173586937561,0.79195499922208,0.8089268537834207,0.8254062064567933,0.8136882129277566,2
2,0.8089148522043258,0.8345340887182993,0.8120691370033475,0.8366922852424341,0.839054945054945,0.8452830188679246,2
3,0.8236543259292561,0.8425201602059602,0.8210547504025764,0.8304017550358992,0.8458873274331111,0.8226415094339623,2
4,0.7310903462613719,0.7649575006550708,0.7186948051948052,0.7926059875905106,0.8007327551300433,0.7962264150943397,2
0,0.762564282753188,0.8064588274044795,0.7447287724352942,0.7976321180125633,0.8102559300873908,0.797752808988764,3
1,0.7865017620617878,0.8367771922119748,0.763104114717387,0.8043995789773201,0.822711261162348,0.7954545454545454,3
2,0.7772864264920001,0.7813256244197729,0.8105238726863442,0.8040624562893105,0.813482260832041,0.8089887640449438,3
3,0.7609519508806064,0.7863265263673611,0.761148609844262,0.7828456445387341,0.7883310803575844,0.7924528301886793,3
4,0.7281411801530677,0.7710654106544729,0.6997148653654046,0.7966236840933251,0.8327868383027948,0.7718631178707225,3
0,0.7343324975614993,0.7652542145963198,0.7597584882155003,0.7900168248070222,0.8074290579929678,0.7894736842105263,4
1,0.753897982553211,0.8323940781440783,0.7160932183758271,0.7947168790363922,0.8309385122215311,0.7773584905660378,4
2,0.8283025912095864,0.83646262996263,0.8322225721138766,0.8305228271320103,0.8310939490026942,0.8403041825095057,4
3,0.7443562434803465,0.7793531030373136,0.7232228220002002,0.8024839191282586,0.8390723311775943,0.7781954887218046,4
4,0.7993453132308161,0.8287134864981657,0.7978148000704391,0.8230943435073514,0.8442425817858965,0.8195488721804511,4
