fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.7433134789157825,0.856237964933617,0.6898316169319765,0.829542827131882,0.9269902152155264,0.7769516728624535,0
1,0.7378412104722246,0.8285204352873526,0.6877825441179479,0.8141549311670759,0.880363788258525,0.7689393939393939,0
2,0.804295129898701,0.8652808302808304,0.7760348134575824,0.8427218729135736,0.8742046213744328,0.8301886792452831,0
3,0.8519173793787663,0.9473214285714284,0.7969550546072284,0.8592336198846288,0.9313794983642312,0.8129770992366412,0
4,0.7667917154148718,0.8165597859697239,0.7385850546605696,0.8320530974443654,0.8955497510008789,0.7894736842105263,0
0,0.7566109078067291,0.8520678446817322,0.6988989222006547,0.8198293230767733,0.8903279254285446,0.7727272727272727,1
1,0.7564810051812259,0.8223278785198289,0.71407567515119,0.8273796681329879,0.8886747668282805,0.7849056603773585,1
2,0.7929406457356768,0.8301062981187205,0.7663120695729392,0.8504884094588314,0.8872069070953829,0.8215613382899628,1
3,0.799439780404964,0.9039669069208711,0.7355284208545078,0.8327094418993822,0.9225276698996225,0.7756653992395437,1
4,0.7943542282311091,0.8607692307692307,0.7454113547906454,0.8344764120122766,0.9061828737300436,0.7811320754716982,1
0,0.7456150916891537,0.804296624632759,0.7128171387896788,0.824941702044895,0.8854479702328693,0.7835820895522388,2
1,0.7443410866201036,0.8325285825285826,0.6975710797744142,0.8209471805873345,0.8907619630053091,0.779467680608365,2
2,0.8057705303014446,0.8786058897243109,0.7730849042262086,0.8475938362615978,0.9074336785359625,0.8113207547169812,2
3,0.8330807844946454,0.912584236593188,0.7941990296338123,0.8708650198967974,0.9411178936983599,0.8301886792452831,2
4,0.7627025043847894,0.8344676173499703,0.7228402547744652,0.8196702161080779,0.8759109407056133,0.7849056603773585,2
0,0.7980149504672305,0.8593939393939394,0.7585251785463457,0.814956553101012,0.8720690046532743,0.7752808988764045,3
1,0.7508981339279416,0.8586219336219336,0.6953815838369614,0.8146731831670798,0.8941603535353535,0.7689393939393939,3
2,0.7542728307466982,0.7953411667697383,0.7361854409680498,0.8167609820705665,0.8521215363911993,0.797752808988764,3
3,0.7830987447440526,0.8229546916660763,0.769518138865965,0.8071196831779399,0.8285495360747941,0.8,3
4,0.7530475471478875,0.8181677018633542,0.7081071344719596,0.83420989944198,0.8994296577946769,0.7870722433460076,3
0,0.7782095154499493,0.8376127980329661,0.7392513023765066,0.8352206083633956,0.8860934671991726,0.8007518796992481,4
1,0.7842745141241382,0.8482961482961484,0.749009167161341,0.819755074609664,0.8595986822401916,0.7924528301886793,4
2,0.7792978751653967,0.8310658785658787,0.7586659021756275,0.8146578638881847,0.8506333548158642,0.7946768060836502,4
3,0.7763319011415656,0.847158840226067,0.7286652785181715,0.8363928361817154,0.9177831438059214,0.7819548872180451,4
4,0.7930900055091195,0.8339221791853371,0.7657879157879157,0.8634528365803418,0.8951740195784517,0.8421052631578947,4
