fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.23326858326858324,0.26772486772486775,0.21967120181405897,0.29632213173360306,0.35818786367414795,0.26932668329177056,0
1,0.21137343627501104,0.23961067366579178,0.20406824146981625,0.2709037718161806,0.3188023790213571,0.25304136253041365,0
2,0.1918629340316087,0.22428762669726526,0.1798144960795563,0.26385897588905105,0.31706647571309227,0.24310776942355888,0
3,0.20013160173160174,0.22666666666666668,0.19199999999999998,0.2562177247456435,0.30372250423011843,0.23857868020304568,0
4,0.2484813573523251,0.2869623655913978,0.23353494623655913,0.29977642610554,0.36286919831223624,0.27341772151898736,0
0,0.2558651874441348,0.2874493927125506,0.24489107383844225,0.30126854902974304,0.35945273631840796,0.27611940298507465,1
1,0.23520236377379233,0.27208994708994705,0.22123015873015872,0.29120499753411144,0.35350210970464135,0.26582278481012656,1
2,0.19354156246586524,0.23227091633466135,0.1796148738379814,0.25966810966810966,0.3209166666666667,0.235,1
3,0.22311235605353252,0.25313725490196076,0.2094771241830065,0.27151761517615175,0.318780487804878,0.25121951219512195,1
4,0.21067763347763346,0.23386666666666667,0.2033333333333333,0.2853886006557762,0.3245122985581001,0.2697201017811705,1
0,0.246086839989279,0.2861014324428959,0.23011033681765392,0.29967005699015625,0.3622237977076687,0.2729528535980149,2
1,0.22270698120500493,0.2641963109354414,0.20562770562770563,0.2814279259534734,0.3499391727493917,0.25304136253041365,2
2,0.2110332362300866,0.23224596925384325,0.20603674540682415,0.2531373549095068,0.291163351416516,0.24050632911392406,2
3,0.20379818594104307,0.23015873015873015,0.1941137566137566,0.2646746817538897,0.30445544554455445,0.24752475247524752,2
4,0.21640640061692692,0.24696356275303644,0.20734528629265472,0.2896763873508059,0.3406546080964685,0.268733850129199,2
0,0.2333904761904762,0.2855,0.21233333333333332,0.30659340659340656,0.3911290322580645,0.2704714640198511,3
1,0.22975895072669264,0.2699212749615975,0.21222158218125958,0.2867498756387645,0.3538506760728983,0.25679012345679014,3
2,0.22445597880380488,0.25042348955392435,0.2150856389986825,0.27470255137748933,0.3173520028358738,0.25806451612903225,3
3,0.23298379354156246,0.2667994687915007,0.2234395750332005,0.28316727939843517,0.34179229480737017,0.2613065326633166,3
4,0.21232048374905516,0.24159108087679515,0.198932350718065,0.2723663378394836,0.31798806479113384,0.2506393861892583,3
0,0.20050618672665918,0.2306430446194226,0.19061679790026245,0.25442869259663153,0.3110687022900763,0.23155216284987276,4
1,0.21159779374065088,0.2428193499622071,0.1980820105820106,0.2711755241458212,0.31759783121169255,0.25,4
2,0.21200356983489516,0.25220883534136546,0.19563970166379802,0.27612535612535605,0.3517948717948718,0.24615384615384617,4
3,0.20961366675652388,0.24801587301587302,0.1935468631897203,0.2930802035020397,0.35566583953680725,0.2655086848635236,4
4,0.21973314503434987,0.26063778925224707,0.20682730923694778,0.282765121057804,0.3453687572590012,0.26097560975609757,4
