Name,SMILES,Metabolite,Type,ACYLSUGAR-BIOSYNTHESIS,ALKALOIDS-SYN,ANTHOCYANIN-SYN,APOCAROTENOID-SYN,AURONE-SYN,Abscisic-Acid-Biosynthesis,Aroma-Compound-Biosynthesis,Auxin-Biosynthesis,BETALAIN-ALKALOIDS,C40-Carotenoids-Biosynthesis,CINNAMATE-SYN,COUMARIN-SYN,CYANOGENIC-GLUCOSIDE-SYN,CYCLITOLS,CYTOKININ-BIOSYNTHESIS,Caffeine-Biosynthesis,Cyclitols-Biosynthesis,DITERPENOID-SYN,FATTY-ACID-DERIVATIVE-SYN,FLAVANONES-SYN,FLAVONE-SYN,FLAVONOID-SYN,FLAVONOL-SYN,GIBBERELLIN-SYN,GIBBERELLINS-BIOSYNTHESIS,GLUCOSINOLATE-SYN,INDOLE-PHYTOALEXIN-SYN,ISOFLAVONOID-PHYTOALEXINS,ISOFLAVONOID-SYN,ISOPRENOIDS,ISOQUINOLINE-ALKALOIDS,Jasmonates-Biosynthesis,LEUCOANTHOCYANIDIN-SYN,LIGNAN-SYN,LIGNIN-SYN,Lycopene-Biosynthesis,MEP-Pathways,MONOTERPENOID-SYN,N-CONTAINING-SECONDARY-CMPD-SYN,NON-PROTEIN-AMINO-ACID-SYN,PHENYLPROPANOID-SYN,PHYTOALEXIN-SYN,POLYKETIDE-SYN,PYRROLIDINE-ALKALOIDS,Phytate-Biosynthesis,Plant-Hormone-Biosynthesis,QUINOLINE-ALKALOIDS,QUINONE-SYN,Resin-Acids-Biosynthesis,Rosmarinate-Biosynthesis,Rotenoids-Biosynthesis,S-CONTAINING-SECONDARY-CMPD-SYN,SESQUITERPENE-LACTONE,SESQUITERPENOID-SYN,SUGAR-DERIVS,TERPENOID-ALKALOIDS,TERPENOID-PHYTOALEXINS,TERPENOPHENOLICS-SYN,TRITERPENOID-SYN,TROPANE-ALKALOIDS,Terpenoid-Biosynthesis,Toxin-Biosynthesis,XANTHONE-SYN,Yatein-Biosynthesis
&Delta;<sup>24-25</sup>-sitosterol,CCC(CC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C\C=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34)))))=C(C)C,CPD-4142,['TRITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
&Delta;<sup>9</sup>-tetrahydrocannabinol,CCCCCC1(\C=C(C2(\[C@@H]3(\C=C(C)/CC[C@@H](C(C)(C)OC(\C=1)=2)3)))\O),CPD-7172,['TERPENOPHENOLICS-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
&Delta;<sup>9</sup>-tetrahydrocannabinolate,CCCCCC1(\C(\C([O-])=O)=C(C2(\[C@@H]3(\C=C(C)/CC[C@@H](C(C)(C)OC(\C=1)=2)3)))\O),CPD-7169,['TERPENOPHENOLICS-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"&alpha;-3',4'-anhydrovinblastine",CCC7(\C[NH+]6(CCC8(\C9(\C(\NC(/[C@@](C(=O)OC)(C3(\C(\OC)=C/C4(/N(C)[C@H]5([C@](C(OC)=O)(O)[C@H](OC(=O)C)[C@]2(CC)(\C=C/C[NH+]1(CC[C@]([C@@H]12)(C(/C=3)=4)5))))))C[C@H](C6)\C=7)=8)=C/C=C\C=9)))),CPD-13001,['TERPENOID-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"&alpha;-3',4'-anhydrovinblastine radical",CCC7(\C[NH+]6(CCC8(\C9(\C(\NC(/[C@@](C(=O)OC)(C3(\C(\OC)=C/C4(/N(C)[C@H]5([C@](C(OC)=O)(O)[C@H](OC(=O)C)[C@]2(CC)(\C=C/C[NH+]1(CC[C@]([C@@H]12)(C(/C=3)=4)5))))))C[C@H](C6)\C=7)=8)=C/C=C\C=9)))),CPD-21576,['TERPENOID-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
&alpha;-amyrin,C[C@@H]1(CC[C@]2(C)(CC[C@@]3(C)([C@]4([C@H](C\C=C([C@H]([C@@H](C)1)2)/3)[C@@]5(C)(CC[C@H](O)C(C)(C)[C@H](CC4)5))(C)))),CPD-8250,"['TRITERPENOID-SYN', 'TRITERPENOID-SYN', 'TRITERPENOID-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
&alpha;-carotene,CC(/C=C/C=C(C)/C=C/[C@@H]1(C(C)(C)CC\C=C(C)/1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)CCCC(/C)=2),CPD1F-118,['C40-Carotenoids-Biosynthesis'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"&alpha;-cembratriene-4,6-diol",CC(C)[C@H]1(/C=C/[C@@](C)(O)C[C@@H](O)/C=C(C)/CC/C=C(C)/CC1),CPD-18857,['DITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-cembratriene-ol,CC(C)[C@H]1(/C=C/[C@@](C)(O)CC/C=C(C)/CC/C=C(C)/CC1),CPD-18854,['DITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&alpha;-chaconine,C[C@H]8(CC[C@@H]9([C@@H](C)[C@H]3([C@H](CC2([C@@H]4(C\C=C1(CC(CC[C@@](C)1[C@@H](CC[C@@](C)23)4)O[C@H]5([C@@H]([C@H](C([C@@H](CO)O5)O[C@H]6([C@@H]([C@@H]([C@H]([C@H](C)O6)O)O)O))O)O[C@H]7([C@@H]([C@@H]([C@H]([C@H](C)O7)O)O)O))))))[NH+](C8)9))),CPD-9214,['ALKALOIDS-SYN'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
