Pathway ID,Type,Pathway Name,Metabolite,Name,SMILES
PWY-6232,FLAVONOID-SYN,chrysoeriol biosynthesis,5734-TETRAHYDROXYFLAVONE,luteolin,C3(/C=C(C(/O)=C\C(\C1(\OC2(/C=C(/C=C(C(\C(=O)\C=1)=2)/O)/[O-])))=3)/O)
PWY-6232,FLAVONOID-SYN,chrysoeriol biosynthesis,574-TRIHYDROXY-3-METHOXYFLAVONE,chrysoeriol,COC1(\C(\O)=C/C=C(/C=1)/C2(/OC3(/C=C(/C=C(C(\C(=O)\C=2)=3)/O)/[O-])))
PWY0A-6303,Auxin-Biosynthesis,methyl indole-3-acetate interconversion,CPD-10546,methyl (indol-3-yl)acetate,COC(=O)CC1(\C2(\C(\N\C=1)=C/C=C\C=2))
PWY0A-6303,Auxin-Biosynthesis,methyl indole-3-acetate interconversion,INDOLE_ACETATE_AUXIN,(indol-3-yl)acetate,C([O-])(=O)CC1(\C2(/C=C\C=C/C(/N\C=1)=2))
PWY-5409,Divinyl-Ether-Biosynthesis,divinyl ether biosynthesis II,LINOLEIC_ACID,linoleate,CCCCC\C=C/C\C=C/CCCCCCCC([O-])=O
PWY-5409,Divinyl-Ether-Biosynthesis,divinyl ether biosynthesis II,13-HYDROPEROXYOCTADECA-911-DIENOATE,(13<i>S</i>)-HPODE,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)[O-])OO
PWY-5409,Divinyl-Ether-Biosynthesis,divinyl ether biosynthesis II,CPD-8690,etheroleate,CCCC/C=C/O/C=C/C=C\CCCCCCCC([O-])=O
PWY-5472,ISOQUINOLINE-ALKALOIDS,bisbenzylisoquinoline alkaloid biosynthesis,R-N-METHYLCOCLAURINE,(<i>R</i>)-<i>N</i>-methylcoclaurine,C1([NH+]([C@@H](C2(\C=C(C(/OC)=C\C(/C1)=2)\O))CC3(\C=C/C(/O)=C\C=3))C)
PWY-5472,ISOQUINOLINE-ALKALOIDS,bisbenzylisoquinoline alkaloid biosynthesis,CPD-8925,guattegaumerine,C1([NH+]([C@@H](C2(\C=C(C(/OC)=C\C(/C1)=2)\O))CC6(\C=C/C(/OC5(/C=C(C[C@H]3([NH+](CCC4(/C=C(C(/O)=C\C/3=4)/OC))C))\C=C/C(/O)=5))=C\C=6))C)
PWY-5472,ISOQUINOLINE-ALKALOIDS,bisbenzylisoquinoline alkaloid biosynthesis,S-N-METHYLCOCLAURINE,(<i>S</i>)-<i>N</i>-methylcoclaurine,C1([NH+]([C@H](C2(\C=C(C(/OC)=C\C(/C1)=2)\O))CC3(\C=C/C(/O)=C\C=3))C)
PWY-5472,ISOQUINOLINE-ALKALOIDS,bisbenzylisoquinoline alkaloid biosynthesis,BERBAMUNINE,berbamunine,C[NH+]1(CCC6(\C(\[C@@H]1CC5(\C=C/C(/OC4(/C=C(C[C@H]2([NH+](C)CCC3(\C/2=C/C(/O)=C(\C=3)/OC)))\C=C/C(/O)=4))=C\C=5))=C/C(/O)=C(\C=6)/OC))
PWY-6243,Bergamotene-Biosynthesis,bergamotene biosynthesis I,FARNESYL-PP,"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate",CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]
PWY-6243,Bergamotene-Biosynthesis,bergamotene biosynthesis I,CPD-13396,(-)-<i>exo</i>-&alpha;-bergamotene,CC(C)=CCC[C@]1(C)([C@@H]2(C[C@@H]1C(/C)=C/C2))
PWY-5176,COUMARIN-SYN,coumarin biosynthesis (via 2-coumarate),CPD-7418,coumarinate,C(\C=C/C1(\C=C/C=C\C(O)=1))(=O)[O-]
PWY-5176,COUMARIN-SYN,coumarin biosynthesis (via 2-coumarate),COUMARIN,coumarin,C1(OC2(\C(/C=C\1)=C/C=C\C=2))=O
PWY-5176,COUMARIN-SYN,coumarin biosynthesis (via 2-coumarate),CPD-7417,<i>cis</i>-coumarinic acid-&beta;-<i>D</i>-glucoside,C([C@H]2(O[C@@H](OC1(\C=C/C=C\C(\C=C/C(=O)[O-])=1))[C@@H]([C@H]([C@@H]2O)O)O))O
PWY-5176,COUMARIN-SYN,coumarin biosynthesis (via 2-coumarate),CPD-459,2-O-(&beta;-<i>D</i>-glucosyl)-2-hydroxycinnamate,C(O)[C@@H]1([C@H]([C@H](O)[C@@H](O)[C@@H](O1)OC2(\C(/C=C/C(=O)[O-])=C/C=C\C=2))O)
PWY-5176,COUMARIN-SYN,coumarin biosynthesis (via 2-coumarate),2-COUMARATE,<i>trans</i>-2-coumarate,C(/C=C/C1(\C=C/C=C\C(O)=1))([O-])=O
PWY-5176,COUMARIN-SYN,coumarin biosynthesis (via 2-coumarate),CPD-674,cinnamate,C(=O)([O-])/C=C/C1(\C=C/C=C\C=1)
PWY-7150,FLAVONOL-SYN,,CPD-14854,"2'-hydroxy 3,7,3',4'-tetramethylquercetin",COC1(/C(/OC)=C\C=C(C(\O)=1)C2(/OC3(\C(\C(=O)C(/OC)=2)=C(/C=C(/C=3)/OC)\O)))
PWY-7150,FLAVONOL-SYN,,CPD-14859,"3,7,3',4'-tetramethylquercetin 2'-<i>O</i>-&beta;-<i>D</i>-glucoside",COC2(/C(/OC)=C\C=C(C(\O[C@H]1([C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O))=2)C3(/OC4(\C(\C(=O)C(/OC)=3)=C(/C=C(/C=4)/OC)\O)))
PWY-7150,FLAVONOL-SYN,,CPD-14858,"3,7,4'-trimethylquercetin 2'-<i>O</i>-&beta;-<i>D</i>-glucoside",COC4(\C=C3(C(\C(=O)C(/OC)=C(C2(C(\O[C@H]1([C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O))=C(C(/OC)=C\C=2)\O))\O3)=C(/C=4)\O))
PWY-7150,FLAVONOL-SYN,,CPD-14853,"2'-hydroxy 3,7,4'-trimethylquercetin",COC3(\C=C2(C(\C(=O)C(/OC)=C(C1(C(\O)=C(C(/OC)=C\C=1)\O))\O2)=C(/C=3)\O))
PWY-7150,FLAVONOL-SYN,,CPD-10510,"3,7,4'-trimethylquercetin",COC3(\C=C2(C(\C(=O)C(/OC)=C(C1(\C=C(C(/OC)=C\C=1)\O))\O2)=C(/C=3)\O))
PWY-7150,FLAVONOL-SYN,,CPD-14852,"3,7,3',4'-tetramethylquercetin",COC1(\C(\OC)=C/C=C(/C=1)/C2(/OC3(\C(\C(=O)C(/OC)=2)=C(/C=C(/C=3)/OC)\O)))
