fold,f1_score,precision_score,recall_score,rep
0,0.4180005875494597,0.4275331185105621,0.44112960973863224,0
1,0.4401604562816416,0.4521303258145363,0.46957572502685285,0
2,0.4354469194208993,0.43349790035183294,0.4759675405742821,0
3,0.41357072334515943,0.42139073332682353,0.44567669172932334,0
4,0.4293008870214753,0.4412157287157287,0.48080808080808074,0
0,0.4508231545406266,0.4558904230837316,0.48996282527881047,1
1,0.490108607722244,0.4843704906204906,0.536453823953824,1
2,0.4304985161588935,0.44308176100628927,0.464618149146451,1
3,0.4103492669332364,0.4285874007248053,0.43507815339876404,1
4,0.40456971571984746,0.42113983653162756,0.431592039800995,1
0,0.4298415648787396,0.4434206644243819,0.46567534076827755,2
1,0.4121298918291399,0.4192355889724311,0.45386680988184747,2
2,0.46590169151305966,0.48558052434456933,0.49225967540574284,2
3,0.42105236482594977,0.41657232704402514,0.462722371967655,2
4,0.3948116487889215,0.39517496392496393,0.4416035353535354,2
0,0.4371864714561343,0.4494450929844188,0.4855181023720349,3
1,0.3706729408935291,0.3901064213564214,0.39602272727272725,3
2,0.4670087333178885,0.4682599355531686,0.5261904761904762,3
3,0.41806585666894336,0.4244116785470169,0.45554511278195486,3
4,0.4502063764327915,0.468796046720575,0.4747079964061096,3
0,0.4367317280080876,0.4397124887690925,0.48150943396226414,4
1,0.4294380431598476,0.44808002148227716,0.4497404224847834,4
2,0.3753352616963851,0.37992898913951545,0.4183852488363766,4
3,0.4524228811021264,0.46106918238993705,0.4876100628930817,4
4,0.4522393343954682,0.45512560549735276,0.4967427863338645,4
