fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.0007429716708238742,0.0003963883274228102,0.011904761904761904,0.0025535993162354186,0.001369532197634356,0.029925187032418952,0
1,0.00643385969266604,0.005637819862681099,0.015748031496062992,0.01768467329409817,0.016700760316890505,0.029197080291970802,0
2,5.03581725019199e-05,2.5337944839294085e-05,0.004016064257028112,6.28530574084113e-05,3.162480333325427e-05,0.005012531328320802,0
3,0.0026666666666666666,0.004,0.002,0.00338409475465313,0.005076142131979695,0.0025380710659898475,0
4,0.004032258064516129,0.004032258064516129,0.004032258064516129,0.002531645569620253,0.002531645569620253,0.002531645569620253,0
0,0.003470213996529786,0.004048582995951417,0.003036437246963563,0.008528784648187633,0.009950248756218905,0.007462686567164179,1
1,0.006098004951215961,0.005365178262374524,0.011904761904761904,0.005620717686679828,0.004503332150321384,0.02278481012658228,1
2,0.0066657272304138215,0.0059889474360622025,0.01195219123505976,0.01084941050375134,0.010008064516129032,0.015,1
3,0.0024935802314673392,0.0022430917214491023,0.016666666666666666,0.0036002860110064955,0.0030587985415412933,0.02195121951219512,1
4,9.984472504614303e-05,5.0314465408805034e-05,0.008,0.0001586370453731023,8.001664346184006e-05,0.010178117048346057,1
0,8.049585446349512e-05,4.065040650406504e-05,0.0040650406504065045,0.00014740928187111514,7.444168734491315e-05,0.007444168734491315,2
1,0.0034349708262751736,0.0029880949563323945,0.007905138339920948,0.006314447920287336,0.005503591357431122,0.012165450121654502,2
2,0.0007796049079214876,0.0004202316434718518,0.011811023622047244,0.0010998829244030118,0.0005897266987291141,0.017721518987341773,2
3,0.007545194003527336,0.007167814714984526,0.011904761904761904,0.023714246424642465,0.02280341241671337,0.0297029702970297,2
4,0.00016861403570309901,8.525317049628655e-05,0.008097165991902834,0.00035034345048237035,0.00017727424405770316,0.015503875968992248,2
0,4.878048780487805e-05,2.4539877300613496e-05,0.004,6.0521697028384676e-05,3.0446497891580022e-05,0.004962779156327543,3
1,4.8003072196620584e-05,2.4145257871354068e-05,0.004032258064516129,5.878894767783656e-05,2.957048865232498e-05,0.0049382716049382715,3
2,0.000789451185553391,0.00043834431186209845,0.01383399209486166,0.0012315875667513407,0.0006742934782637016,0.017369727047146403,3
3,0.0006027785067315568,0.0003206853208658676,0.00796812749003984,0.000805424327224947,0.00042725496277242923,0.01256281407035176,3
4,9.92063492063492e-05,5.0231062889290733e-05,0.003968253968253968,0.00025575447570332484,0.00012949593706497459,0.010230179028132993,3
0,8.112900601480186e-05,4.0803901453437696e-05,0.007874015748031496,8.839960088074867e-05,4.4482515754689836e-05,0.007633587786259542,4
1,0.0,0.0,0.0,0.0,0.0,0.0,4
2,0.2220437304774654,0.2682730923694779,0.20300248613501626,0.2902279202279202,0.37487179487179484,0.2564102564102564,4
3,0.0012317684275356233,0.0008432539682539683,0.005952380952380952,0.0015404746587542285,0.001054590570719603,0.007444168734491315,4
4,0.00793203263139666,0.012094090648307515,0.014725568942436413,0.017327581840813375,0.02933797909407665,0.024390243902439025,4
