fold,f1_score,precision_score,recall_score,rep
0,0.5750791606054763,0.5668814894378803,0.6358306480486932,0
1,0.5755668934240363,0.581390977443609,0.6120300751879699,0
2,0.5881337451562171,0.6074594257178527,0.6169475655430713,0
3,0.5497553407327843,0.5780075187969925,0.5652255639097743,0
4,0.5784962722462722,0.5755050505050505,0.6335858585858585,0
0,0.6127517463948691,0.6395556735705434,0.6397149938042132,1
1,0.5794927084699811,0.603030303030303,0.5929924242424243,1
2,0.6006291611951989,0.6115094339622642,0.6451212938005391,1
3,0.5381481114305542,0.5533715012722646,0.5601145038167938,1
4,0.5467187870172945,0.5609452736318408,0.5779228855721392,1
0,0.6155234893153109,0.6298017348203222,0.6489732696052399,2
1,0.5974280105859053,0.6101011457214464,0.6322950232724668,2
2,0.5743980738362761,0.6046013911182451,0.581960049937578,2
3,0.549739673324579,0.5523090745732255,0.5878885893980232,2
4,0.5724625858148585,0.5903093434343434,0.601483585858586,2
0,0.5796922802540779,0.6015427144640627,0.6116996611378634,3
1,0.5318096255596255,0.5546987734487735,0.555203823953824,3
2,0.6159326888650197,0.6285803795202292,0.6436716791979948,3
3,0.5802717578259373,0.5981411862990811,0.6067042606516291,3
4,0.5874962563641808,0.6023090745732256,0.6184276729559748,3
0,0.5821715391526712,0.6070350404312669,0.605058400718778,4
1,0.555911966062342,0.556641604010025,0.6052631578947368,4
2,0.5864512471655329,0.5966299677765843,0.6218671679197995,4
3,0.5734365215497291,0.599811320754717,0.5996226415094339,4
4,0.5917137385538872,0.6026332094175961,0.6252168525402726,4
