fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.9007137817904585,0.9470229747106015,0.8693419976541573,0.9059990818956467,0.9498152723815784,0.8740554156171285,0
1,0.8958388020263167,0.971411657493415,0.8534686420824055,0.9205776992420027,0.9727364159591598,0.8835443037974684,0
2,0.85735557510352,0.9354169874877696,0.8159373630335518,0.9004168733253657,0.950948990305521,0.8683544303797468,0
3,0.8326420846163104,0.9145057866406752,0.7915947558188938,0.8913441664966832,0.9483771874687736,0.8582278481012658,0
4,0.8381686569215174,0.9202628641820085,0.7923807429892623,0.8671620160522338,0.9244169933163331,0.8287153652392947,0
0,0.8379245714442716,0.9015332414279815,0.8030228918640363,0.8799080006594246,0.9241425130139432,0.8527918781725888,1
1,0.8810102306144016,0.9346106367431231,0.8478744083713984,0.8889606029927443,0.9278469631933989,0.8607594936708861,1
2,0.9087187205659822,0.9647849596125458,0.8706047145702318,0.9233780177673151,0.967220427626519,0.8908629441624365,1
3,0.8347773028720599,0.9204025966219704,0.7832937177764763,0.8887742817283212,0.9523048600616512,0.8436724565756824,1
4,0.8693705861320953,0.9259894320239148,0.8382336692681519,0.8913185874349947,0.936863518161228,0.8625954198473282,1
0,0.8857948084397226,0.9509364662034294,0.8474127848602195,0.9045487962607948,0.9517383465644619,0.871536523929471,2
1,0.8857867592387004,0.9738043980505977,0.8420426954909714,0.9020699625316468,0.9712786341494934,0.8611111111111112,2
2,0.8491375318140023,0.898666900754015,0.8210939544424118,0.8918267753934744,0.9232632923522583,0.8705583756345178,2
3,0.894171871385187,0.9678028802032237,0.8437785566508743,0.910989699210717,0.9749703347704571,0.8639798488664987,2
4,0.8475988783801781,0.9291958233337543,0.8003213510782896,0.865272225041412,0.9336845489250551,0.8202531645569621,2
0,0.8286979157740011,0.8911060204163653,0.787647683905043,0.8854363665155934,0.9408051964870147,0.8459595959595959,3
1,0.8919581342975123,0.9678400765900766,0.8409581931814237,0.8957640813887721,0.9540199373490831,0.8542713567839196,3
2,0.8652476869061687,0.9340153771695353,0.8278036929125858,0.8830286116250242,0.9433386053727322,0.8447837150127226,3
3,0.8440261633489815,0.8999870182163138,0.8167235063786789,0.8877196096170317,0.926828501992897,0.8636363636363636,3
4,0.8881748623769712,0.9253536138352133,0.8707618052445638,0.9188873031469662,0.946965209937899,0.9015151515151515,3
0,0.8351777679663858,0.8933584620443185,0.8120900644654248,0.8840697610465996,0.9262528519977828,0.8527918781725888,4
1,0.8698484490675813,0.9668199233716476,0.8164066156966766,0.8993620226744967,0.9648476831810165,0.8585858585858586,4
2,0.8936861446150451,0.9489776095329423,0.8595739610258665,0.9015786014450429,0.9392743971582935,0.8768844221105527,4
3,0.8468833162986087,0.9029949213907236,0.8107569971160234,0.8988993091430508,0.942785377834785,0.8661616161616161,4
4,0.8867315133678325,0.9651477832512315,0.8331616145745666,0.8982312381594245,0.9595238095238096,0.8531645569620253,4
