reaction_id,pathway_id,left,right
R00756,map00010,C00002,C00008
R00756,map00010,C00002,C00354
R00756,map00010,C00085,C00008
R00756,map00010,C00085,C00354
R13245,map00010,C22852,C22853
R13245,map00010,C22852,C00009
R13245,map00010,C00001,C22853
R13245,map00010,C00001,C00009
R00867,map00010,C00002,C00008
R00867,map00010,C00002,C05345
R00867,map00010,C00095,C00008
R00867,map00010,C00095,C05345
R02749,map00010,C00672,C00673
R00839,map00010,C04534,C00031
R00839,map00010,C04534,C00092
R00839,map00010,C00001,C00031
R00839,map00010,C00001,C00092
R08307,map00010,C16587,C16591
R08307,map00010,C16587,C00004
R08307,map00010,C16587,C00080
R08307,map00010,C00003,C16591
R08307,map00010,C00003,C00004
R08307,map00010,C00003,C00080
R08307,map00010,C00001,C16591
R08307,map00010,C00001,C00004
R08307,map00010,C00001,C00080
R10619,map00010,C00124,C00984
R03815,map00010,C02972,C02051
R03815,map00010,C02972,C00004
R03815,map00010,C02972,C00080
R03815,map00010,C00003,C02051
R03815,map00010,C00003,C00004
R03815,map00010,C00003,C00080
R05285,map00010,C06753,C06754
R05285,map00010,C06753,C00126
R05285,map00010,C06753,C00080
R05285,map00010,C00125,C06754
R05285,map00010,C00125,C00126
R05285,map00010,C00125,C00080
R06983,map00010,C14180,C01031
R06983,map00010,C14180,C00004
R06983,map00010,C14180,C00080
R06983,map00010,C00003,C01031
R06983,map00010,C00003,C00004
R06983,map00010,C00003,C00080
R07104,map00010,C06899,C11150
R07104,map00010,C06899,C00004
R07104,map00010,C06899,C00080
R07104,map00010,C00003,C11150
R07104,map00010,C00003,C00004
R07104,map00010,C00003,C00080
R08281,map00010,C07645,C16551
R08281,map00010,C07645,C00003
R08281,map00010,C00004,C16551
R08281,map00010,C00004,C00003
R08281,map00010,C00080,C16551
R08281,map00010,C00080,C00003
R03302,map00010,C04043,C01161
R03302,map00010,C04043,C00005
R03302,map00010,C04043,C00080
R03302,map00010,C00006,C01161
R03302,map00010,C00006,C00005
R03302,map00010,C00006,C00080
R03302,map00010,C00001,C01161
R03302,map00010,C00001,C00005
R03302,map00010,C00001,C00080
R08566,map00010,C00233,C02939
R08566,map00010,C00233,C00011
R08566,map00010,C00233,C00138
R08566,map00010,C00233,C00080
R08566,map00010,C00010,C02939
R08566,map00010,C00010,C00011
R08566,map00010,C00010,C00138
R08566,map00010,C00010,C00080
R08566,map00010,C00139,C02939
R08566,map00010,C00139,C00011
R08566,map00010,C00139,C00138
R08566,map00010,C00139,C00080
R00703,map00010,C00186,C00022
R00703,map00010,C00186,C00004
