reaction_id,pathway_id,left,right
RXN-10938,Unknown,1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH,CPD-177
RXN-10938,Unknown,1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH,Pi
RXN-10938,Unknown,WATER,CPD-177
RXN-10938,Unknown,WATER,Pi
RXN-12991,RXNQT-4313,CPD-14037,CPDQT-262
RXN-12991,RXNQT-4313,CPD-14037,WATER
RXN-12991,RXNQT-4313,CPD-14037,CARBON-DIOXIDE
RXN-12991,RXNQT-4313,PROTON,CPDQT-262
RXN-12991,RXNQT-4313,PROTON,WATER
RXN-12991,RXNQT-4313,PROTON,CARBON-DIOXIDE
RXN-19953,1.11.1.15-RXN,Reduced-Cys2-Peroxiredoxins,2Cys-Peroxiredoxins-With-HydroxyCys
RXN-19953,1.11.1.15-RXN,Reduced-Cys2-Peroxiredoxins,Alcohols
RXN-19953,1.11.1.15-RXN,Alkyl-Hydro-Peroxides,2Cys-Peroxiredoxins-With-HydroxyCys
RXN-19953,1.11.1.15-RXN,Alkyl-Hydro-Peroxides,Alcohols
RXN-7633,PWY-5049,CPD-6982,CPD-6981
RXN-7633,PWY-5049,CPD-6982,CO-A
RXN-7633,PWY-5049,CAFFEOYL-COA,CPD-6981
RXN-7633,PWY-5049,CAFFEOYL-COA,CO-A
RXN-18200,PWYQT-4450,CPDQT-40,CPD-19487
RXN-18200,PWYQT-4450,CPDQT-40,NADH
RXN-18200,PWYQT-4450,CPDQT-40,PROTON
RXN-18200,PWYQT-4450,NAD,CPD-19487
RXN-18200,PWYQT-4450,NAD,NADH
RXN-18200,PWYQT-4450,NAD,PROTON
RXN-10457,PWY-6220,Jasmonic-Acids,Jasmonoyl-Valines
RXN-10457,PWY-6220,Jasmonic-Acids,AMP
RXN-10457,PWY-6220,Jasmonic-Acids,PPI
RXN-10457,PWY-6220,Jasmonic-Acids,PROTON
RXN-10457,PWY-6220,VAL,Jasmonoyl-Valines
RXN-10457,PWY-6220,VAL,AMP
RXN-10457,PWY-6220,VAL,PPI
RXN-10457,PWY-6220,VAL,PROTON
RXN-10457,PWY-6220,ATP,Jasmonoyl-Valines
RXN-10457,PWY-6220,ATP,AMP
RXN-10457,PWY-6220,ATP,PPI
RXN-10457,PWY-6220,ATP,PROTON
RXN-9963,PWY-6128,FARNESYL-PP,CPD-10708
RXN-9963,PWY-6128,FARNESYL-PP,PPI
RXN-11414,PWY-1187,3-METHYLTHIOPROPANALDOXIME,CPD-12389
RXN-11414,PWY-1187,3-METHYLTHIOPROPANALDOXIME,WATER
RXN-11414,PWY-1187,3-METHYLTHIOPROPANALDOXIME,Ox-NADPH-Hemoprotein-Reductases
RXN-11414,PWY-1187,OXYGEN-MOLECULE,CPD-12389
RXN-11414,PWY-1187,OXYGEN-MOLECULE,WATER
RXN-11414,PWY-1187,OXYGEN-MOLECULE,Ox-NADPH-Hemoprotein-Reductases
RXN-11414,PWY-1187,Red-NADPH-Hemoprotein-Reductases,CPD-12389
RXN-11414,PWY-1187,Red-NADPH-Hemoprotein-Reductases,WATER
RXN-11414,PWY-1187,Red-NADPH-Hemoprotein-Reductases,Ox-NADPH-Hemoprotein-Reductases
RXN-8215,PWY-5288,CPD-7860,CPD-7849
RXN-8215,PWY-5288,CPD-7860,WATER
RXN-8215,PWY-5288,CPD-7860,Acceptor
RXN-8215,PWY-5288,OXYGEN-MOLECULE,CPD-7849
RXN-8215,PWY-5288,OXYGEN-MOLECULE,WATER
RXN-8215,PWY-5288,OXYGEN-MOLECULE,Acceptor
RXN-8215,PWY-5288,Donor-H2,CPD-7849
RXN-8215,PWY-5288,Donor-H2,WATER
RXN-8215,PWY-5288,Donor-H2,Acceptor
1.2.1.1-RXN,Unknown,FORMALDEHYDE,PROTON
1.2.1.1-RXN,Unknown,FORMALDEHYDE,NADH
1.2.1.1-RXN,Unknown,FORMALDEHYDE,CPD-548
1.2.1.1-RXN,Unknown,FORMALDEHYDE,CPD-548
1.2.1.1-RXN,Unknown,FORMALDEHYDE,NADH
1.2.1.1-RXN,Unknown,FORMALDEHYDE,PROTON
1.2.1.1-RXN,Unknown,GLUTATHIONE,PROTON
1.2.1.1-RXN,Unknown,GLUTATHIONE,NADH
1.2.1.1-RXN,Unknown,GLUTATHIONE,CPD-548
1.2.1.1-RXN,Unknown,GLUTATHIONE,CPD-548
1.2.1.1-RXN,Unknown,GLUTATHIONE,NADH
1.2.1.1-RXN,Unknown,GLUTATHIONE,PROTON
1.2.1.1-RXN,Unknown,NAD,PROTON
1.2.1.1-RXN,Unknown,NAD,NADH
1.2.1.1-RXN,Unknown,NAD,CPD-548
1.2.1.1-RXN,Unknown,NAD,CPD-548
1.2.1.1-RXN,Unknown,NAD,NADH
1.2.1.1-RXN,Unknown,NAD,PROTON
1.2.1.1-RXN,Unknown,NAD,PROTON
1.2.1.1-RXN,Unknown,NAD,NADH
1.2.1.1-RXN,Unknown,NAD,CPD-548
1.2.1.1-RXN,Unknown,NAD,CPD-548
1.2.1.1-RXN,Unknown,NAD,NADH
1.2.1.1-RXN,Unknown,NAD,PROTON
1.2.1.1-RXN,Unknown,GLUTATHIONE,PROTON
1.2.1.1-RXN,Unknown,GLUTATHIONE,NADH
1.2.1.1-RXN,Unknown,GLUTATHIONE,CPD-548
1.2.1.1-RXN,Unknown,GLUTATHIONE,CPD-548
1.2.1.1-RXN,Unknown,GLUTATHIONE,NADH
1.2.1.1-RXN,Unknown,GLUTATHIONE,PROTON
1.2.1.1-RXN,Unknown,FORMALDEHYDE,PROTON
1.2.1.1-RXN,Unknown,FORMALDEHYDE,NADH
1.2.1.1-RXN,Unknown,FORMALDEHYDE,CPD-548
1.2.1.1-RXN,Unknown,FORMALDEHYDE,CPD-548
1.2.1.1-RXN,Unknown,FORMALDEHYDE,NADH
